treatment,round,max_firm_regret,total_current_profit
tarj_compliance,28,10569.968276175,80861.55059430008
tarj_compliance,29,10985.743772487,80861.55059430008
tarj_compliance,30,13277.539842327,83066.77050030004
tarj_compliance,31,21570.322942476,92436.5776291001
tarj_compliance,32,46520.69718177604,108260.09596182004
tarj_compliance,33,139627.73425202395,138371.82762328003
tarj_compliance,34,236450.59485186613,145663.66448480604
tarj_compliance,35,328881.11492475006,208044.3921098355
tarj_compliance,36,336720.403861122,884778.0824411997
tarj_compliance,37,388018.03164935706,1340293.9404584083
tarj_compliance,38,451646.1447927421,2216799.451930875
tarj_compliance,39,496947.2158153021,2330800.49610987
tarj_compliance,40,506281.1525033339,2162359.52960373
tarj_compliance,41,507836.12816014496,1444067.1036744302
tarj_compliance,42,407559.0295444036,964175.0194483903
tarj_compliance,43,360464.98616846406,751200.529349112
tarj_compliance,44,350425.7767731181,581915.0387978089
tarj_compliance,45,303035.520139002,147836.69912579996
tarj_compliance,46,192583.4706970561,145892.5837872001
tarj_compliance,47,56874.20502916803,93037.25656710009
tarj_compliance,48,21207.374571602995,93037.25656710009
tarj_compliance,49,17048.444890599,83066.77050030004
tarj_compliance,50,14166.681359778002,83066.77050030004
tarj_compliance,51,12405.841835903995,80861.55059430008
tarj_compliance,52,12046.252217472,80861.55059430008
tarj_compliance,53,12129.126387345,80861.55059430008
tarj_compliance,54,14378.783048775,83066.77050030004
tarj_compliance,55,22669.21010488199,117395.60072364094
tarj_compliance,56,51854.66272137605,133587.91435413077
tarj_compliance,57,157440.37180400395,244771.71309738237
tarj_compliance,58,256883.33452300203,268244.6839148976
tarj_compliance,59,309144.912211422,710820.652024734
tarj_compliance,60,359088.3963007995,999616.2841502248
tarj_compliance,61,371082.697863762,1735340.7112434662
tarj_compliance,62,458790.3016126139,2290665.650475636
tarj_compliance,63,498151.5947427901,2331808.29287985
tarj_compliance,64,508197.2098879739,2163785.2258470296
tarj_compliance,65,511695.61517777696,1445499.7770889082
tarj_compliance,66,423263.7424605541,1144402.5849953701
tarj_compliance,67,371981.78269561194,752582.2016597459
tarj_compliance,68,345571.1629903741,545175.8117269495
tarj_compliance,69,307250.0277366781,165636.2801277552
tarj_compliance,70,209397.0946526461,162473.1231900829
tarj_compliance,71,91899.97207374002,134770.85864519997
tarj_compliance,72,34995.69862042802,93037.25656710009
tarj_compliance,73,18328.77873636,93037.25656710009
tarj_compliance,74,15798.761580177004,83066.77050030004
tarj_compliance,75,13151.121617097,83066.77050030004
tarj_compliance,76,11870.671349097,80861.55059430008
tarj_compliance,77,10805.948963271005,80861.55059430008
tarj_compliance,78,10648.628505207,80861.55059430008
tarj_compliance,79,17251.553690487002,86454.28598902005
tarj_compliance,80,24334.755790983,105099.02857909071
tarj_compliance,81,91647.31054818004,153015.78121721096
tarj_compliance,82,204138.0964830781,178077.6421077689
tarj_compliance,83,300877.489140192,234023.62141901875
tarj_compliance,84,333343.37021318416,788013.4049728739
tarj_compliance,85,375598.6934827936,1262146.0697626455
tarj_compliance,86,442094.3457105,2009383.4352200043
tarj_compliance,87,435795.4287680161,2193218.9388786
tarj_compliance,88,430440.07999800006,2038013.3034195
tarj_compliance,89,392215.5417945001,1298102.28810315
tarj_compliance,90,368626.2858013619,884428.5066902098
tarj_compliance,91,344822.31299197196,607826.6297940396
tarj_compliance,92,339061.9435191361,166023.5971309584
tarj_compliance,93,282318.4225504261,147836.69912579996
tarj_compliance,94,196401.301099002,145892.5837872001
tarj_compliance,95,88691.17069912807,134770.85864519997
tarj_compliance,96,34181.85158257198,93037.25656710009
tarj_compliance,97,18627.800025084,93037.25656710009
tarj_compliance,98,16254.345902148005,83066.77050030004
tarj_compliance,99,13387.102304193004,83066.77050030004
tarj_compliance,100,12058.894039995,80861.55059430008
tarj_compliance,101,10496.926634931004,80861.55059430008
tarj_compliance,102,9668.751498516003,80861.55059430008
tarj_compliance,103,12986.777924298003,83066.77050030004
tarj_compliance,104,21692.262118461003,93037.25656710009
tarj_compliance,105,46105.20933974396,108260.09596182004
tarj_compliance,106,130026.59628074394,138371.82762328003
tarj_compliance,107,214226.270856432,161684.30881000968
tarj_compliance,108,279500.28795198,200221.86475456803
tarj_compliance,109,295582.6278676259,692513.757948252
tarj_compliance,110,323747.9216742767,1016800.7688158173
tarj_compliance,111,313334.59077443107,1278685.4113778549
tarj_compliance,112,312224.9389280401,1278153.1625256
tarj_compliance,113,335265.58407967957,951631.9973271447
tarj_compliance,114,309212.7793797631,683838.640328007
tarj_compliance,115,296053.655142852,183163.22457996962
tarj_compliance,116,280515.83195142006,147836.69912579996
tarj_compliance,117,230508.93826605612,145892.5837872001
